,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Series ID,Year,Period,Value
JTU54009900HIL,2015,M04,1222
JTU54009900HIL,2015,M05,1141
JTU54009900HIL,2015,M06,1138
JTU54009900HIL,2015,M07,1070
JTU54009900HIL,2015,M08,1068
JTU54009900HIL,2015,M09,1048
JTU54009900HIL,2015,M10,1135
JTU54009900HIL,2015,M11,1020
JTU54009900HIL,2015,M12,1027
JTU54009900HIL,2016,M01,1244
JTU54009900HIL,2016,M02,997
JTU54009900HIL,2016,M03,1051
JTU54009900HIL,2016,M04,1222
JTU54009900HIL,2016,M05,1169
JTU54009900HIL,2016,M06,1170
JTU54009900HIL,2016,M07,1248
JTU54009900HIL,2016,M08,1129
JTU54009900HIL,2016,M09,1074
JTU54009900HIL,2016,M10,1101
JTU54009900HIL,2016,M11,1016
JTU54009900HIL,2016,M12,911
JTU54009900HIL,2017,M01,1207
JTU54009900HIL,2017,M02,931
JTU54009900HIL,2017,M03,985
JTU54009900HIL,2017,M04,1132
JTU54009900HIL,2017,M05,1161
JTU54009900HIL,2017,M06,1352
JTU54009900HIL,2017,M07,1245
JTU54009900HIL,2017,M08,1180
JTU54009900HIL,2017,M09,1123
JTU54009900HIL,2017,M10,1223
JTU54009900HIL,2017,M11,1015
JTU54009900HIL,2017,M12,886
JTU54009900HIL,2018,M01,1142
JTU54009900HIL,2018,M02,1049
JTU54009900HIL,2018,M03,1109
JTU54009900HIL,2018,M04,1276
JTU54009900HIL,2018,M05,1238
JTU54009900HIL,2018,M06,1326
JTU54009900HIL,2018,M07,1246
JTU54009900HIL,2018,M08,1140
JTU54009900HIL,2018,M09,1104
JTU54009900HIL,2018,M10,1269
JTU54009900HIL,2018,M11,1029
JTU54009900HIL,2018,M12,938
JTU54009900HIL,2019,M01,1162
JTU54009900HIL,2019,M02,1063
JTU54009900HIL,2019,M03,1110
JTU54009900HIL,2019,M04,1381
JTU54009900HIL,2019,M05,1245
JTU54009900HIL,2019,M06,1214
JTU54009900HIL,2019,M07,1259
JTU54009900HIL,2019,M08,1181
JTU54009900HIL,2019,M09,1188
JTU54009900HIL,2019,M10,1184
JTU54009900HIL,2019,M11,1050
JTU54009900HIL,2019,M12,938
